Title,Album,Year
The View from the Afternoon,WPSIATWIN,2006
I Bet You Look Good on the Dancefloor,WPSIATWIN,2006
Fake Tales of San Francisco,WPSIATWIN,2006
Dancing Shoes,WPSIATWIN,2006
You Probably Couldn't See for the Lights but You Were Staring Straight at Me,WPSIATWIN,2006
Still Take You Home,WPSIATWIN,2006
Riot Van,WPSIATWIN,2006
Red Light Indicates Doors Are Secured,WPSIATWIN,2006
Mardy Bum,WPSIATWIN,2006
Perhaps Vampires Is a Bit Strong But...,WPSIATWIN,2006
When The Sun Goes Down,WPSIATWIN,2006
From the Ritz to the Rubble,WPSIATWIN,2006
A Certain Romance,WPSIATWIN,2006
Brianstorm,Favourite Worst Nightmare,2007
Teddy Picker,Favourite Worst Nightmare,2007
D Is for Dangerous,Favourite Worst Nightmare,2007
Balaclava,Favourite Worst Nightmare,2007
Fluorescent Adolescent,Favourite Worst Nightmare,2007
Only Ones Who Know,Favourite Worst Nightmare,2007
Do Me a Favour,Favourite Worst Nightmare,2007
This House Is a Circus,Favourite Worst Nightmare,2007
If You Were There Beware,Favourite Worst Nightmare,2007
The Bad Thing,Favourite Worst Nightmare,2007
Old Yellow Bricks,Favourite Worst Nightmare,2007
505,Favourite Worst Nightmare,2007
My Propeller,Humbug,2009
Crying Lightning,Humbug,2009
Dangerous Animals,Humbug,2009
Secret Door,Humbug,2009
Potion Approaching,Humbug,2009
Fire and the Thud,Humbug,2009
Cornerstone,Humbug,2009
Dance Little Liar,Humbug,2009
Pretty Visitors,Humbug,2009
The Jeweller's Hands,Humbug,2009
She's Thunderstorms,Suck It and See,2011
Black Treacle,Suck It and See,2011
Brick by Brick,Suck It and See,2011
The Hellcat Spangled Shalalala,Suck It and See,2011
Don't Sit Down 'Cause I've Moved Your Chair,Suck It and See,2011
Library Pictures,Suck It and See,2011
All My Own Stunts,Suck It and See,2011
Reckless Serenade,Suck It and See,2011
Piledriver Waltz,Suck It and See,2011
Love Is a Laserquest,Suck It and See,2011
Suck It and See,Suck It and See,2011
That's Where You're Wrong,Suck It and See,2011
Do I Wanna Know?,AM,2013
R U Mine?,AM,2013
One for the Road,AM,2013
Arabella,AM,2013
I Want It All,AM,2013
No. 1 Party Anthem,AM,2013
Mad Sounds,AM,2013
Fireside,AM,2013
Why'd You Only Call Me When You're High?,AM,2013
Snap Out of It,AM,2013
Knee Socks,AM,2013
I Wanna Be Yours,AM,2013
Star Treatment,Tranquility Base Hotel & Casino,2018
One Point Perspective,Tranquility Base Hotel & Casino,2018
American Sports,Tranquility Base Hotel & Casino,2018
Tranquility Base Hotel & Casino,Tranquility Base Hotel & Casino,2018
Golden Trunks,Tranquility Base Hotel & Casino,2018
Four Out of Five,Tranquility Base Hotel & Casino,2018
The World's First Ever Monster Truck Front Flip,Tranquility Base Hotel & Casino,2018
Science Fiction,Tranquility Base Hotel & Casino,2018
She Looks Like Fun,Tranquility Base Hotel & Casino,2018
Batphone,Tranquility Base Hotel & Casino,2018
The Ultracheese,Tranquility Base Hotel & Casino,2018
There'd Better Be a Mirrorball,The Car,2022
I Ain't Quite Where I Think I Am,The Car,2022
Sculptures of Anything Goes,The Car,2022
Jet Skis on the Moat,The Car,2022
Body Paint,The Car,2022
The Car,The Car,2022
Big Ideas,The Car,2022
Hello You,The Car,2022
Mr Schwartz,The Car,2022
Perfect Sense,The Car,2022